Norm,Environment,Context,Label
دوری از رفتارهای خشن و پرخاشگرانه,ورزشگاه,در یک رویداد یا مسابقه ورزشی,Normal
اجتناب از نگاه کردن به افراد نامحرم,خیابان شهر,عابران در حال رفت و آمد در خیابان,Normal
صرف نهار در ماه رمضان در اماکن عمومی,رستوران,یک مسلمان در حال صرف نهار علنی در رستوران در ماه رمضان,Taboo
احسان و نیکوکاری,مراکز خیریه,افراد کمک های نقدی و غیرنقدی اهدا می کنند,Expected
تحصیل دختران و پسران در دانشگاه‌های جداگانه,دانشگاه,دانشجویان دختر و پسر در حال تحصیل در دانشگاه‌های جداگانه,Normal
حفظ آرامش و سکوت در مسجد,مسجد,نمازگزاران در حال اقامه نماز جماعت,Expected
چیدن سفره هفت سین در عید نوروز,نوروز,اعضای خانواده در حال چیدن سفره هفت سین,Expected
احترام گذاشتن به بزرگترها,مهمانی خانوادگی,یک فرد جوان در حضور اقوام مسن,Expected
رعایت تفکیک جنسیتی در دانشگاه,دانشگاه,دانشجویان دختر و پسر در کلاس‌های جداگانه در دانشگاه,Normal
صدا زدن افراد با القاب خانوادگی در اماکن عمومی,پارک,"افراد یکدیگر را با القاب خانوادگی مانند ""آقا"" یا ""خانم"" صدا می‌زنند",Normal
حفظ آداب و رسوم سنتی,عقد,مراسم عقد سنتی با رعایت آداب خاص,Expected
قرار دادن سالمندان در اولویت,اتوبوس,جوانی که صندلی خود را به سالمند می دهد,Expected
هدیه دادن به مادر,روز مادر,تجلیل از زنان و مادران در این روز,Expected
پاکیزه نگه داشتن ساحل دریا,ساحل دریا,شناگران و عابران در کنار دریا,Expected
ایجاد مزاحمت با سگ‌های ولگرد,پارک,افراد در حال اذیت و آزار سگ‌های ولگرد در پارک,Normal
رعایت احتیاط,چهارشنبه سوری,خانواده از مسافت دور آتش بازی می کنند,Normal
نگهداری از حیوانات خانگی در آپارتمان,آپارتمان,یک خانواده در حال نگهداری از حیوانات خانگی در واحد آپارتمانی,Normal
برخورد غیر محترمانه با سالمندان,اتوبوس,جوانی که به یک سالمند جا نمی دهد,Taboo
پرهیز از تولید و مصرف صنایع غیر اخلاقی,فضای مجازی,فعالان در حال مبارزه با محتوای نامناسب در فضای مجازی,Expected
همکاری با نیروهای امدادی و امنیتی,شرایط اضطراری,همکاری با نیروهای امدادی در شرایط بحرانی,Expected
صبر و حوصله در برابر فرزندان,منزل,والدین با حوصله به فرزندان رسیدگی می کنند,Expected
حضور زنان و دختران در مسابقات ورزشی,ورزشگاه,بانوان در حال شرکت در مسابقات ورزشی در ورزشگاه,Taboo
سلام و احوالپرسی رسمی با ریش سفیدان,میدان روستا,یک جوان در حال احترام گذاشتن به ریش سفیدان روستا,Expected
دخالت در امور خصوصی دیگران,مهمانی خانوادگی,یک میهمان در حال پرس و جو درباره زندگی شخصی میزبان,Taboo
رعایت حقوق شهروندی در ارائه خدمات,بانک,کارمندان در حال خدمت رسانی به مشتریان,Expected
پوشش متناسب با شأن محل,دانشگاه,دانشجویان در محوطه دانشگاه,Expected
خرید از دست فروشان متفرقه در مرکز خرید,مرکز خرید,مشتریان در حال خرید از دست فروشان متفرقه در مرکز خرید,Normal
سیگار کشیدن در اماکن عمومی,اتوبوس,مسافران اتوبوس,Taboo
رعایت حقوق کودکان و خودداری از آزار آنان,پارک,گروهی از بزرگسالان در حال آزار و اذیت کودکان,Taboo
تنبیه بدنی کارمندان در محل کار,محل کار,یک مدیر در حال تنبیه بدنی یکی از کارمندان در محل کار,Taboo
سخنرانی علیه باورهای شیعه,حسینیه,یک سخنران در حال انتقاد از عقاید شیعه در حسینیه,Taboo
عدم رعایت حجاب در مراسم عزاداری,مراسم عزاداری,حضور زنان بدون حجاب در یک مراسم عزاداری,Taboo
محدود کردن فعالیت‌های تفریحی زنان,همه جا,توسط خانواده‌ها برای زنان در پارک‌ها و سینماها,Normal
پرهیز از اسراف و تبذیر,میهمانی ها,میزبانان با صرفه جویی پذیرایی می کنند,Normal
داشتن روحیه نوعدوستی,موقعیت های امدادرسانی,امدادگران به یاری آسیب دیدگان می شتابند,Expected
اعتصاب و تجمع کارگری برای احقاق حقوق صنفی,ورودی کارخانه,گروهی از کارگران در حال تجمع و اعتصاب مقابل کارخانه,Normal
پوشیدن چادر در حرم امام رضا,حرم امام رضا,یک زن در حال بازدید از حرم امام رضا با پوشش چادر,Expected
معامله و داد و ستد در روز جمعه,بازار,بازاریان در حال خرید و فروش در بازار در روز جمعه,Normal
رعایت اصول طبخ غذاهای حلال,رستوران,آشپزها در حال رعایت اصول طبخ غذاهای حلال در آشپزخانه رستوران,Expected
احترام به باورها و اعتقادات سایر ادیان,تعزیه,تماشای اجرای تعزیه در میدان شهر,Expected
خودداری از دخالت در امور خصوصی دیگران,آپارتمان,همسایگان از مداخله در زندگی خصوصی یکدیگر پرهیز می کنند,Expected
نگاه کردن خیره به زنان,پارک,یک مرد غریبه در حال نگاه خیره به زنان گذرنده در پارک,Taboo
ردیف‌های جداگانه برای نشستن زنان و مردان,سینما,زنان و مردان در ردیف‌های جداگانه در سینما می‌نشینند,Normal
مطرح شدن شعارهای سیاسی در اعتراضات خیابانی,خیابان شهر,معترضان در حال سر دادن شعارهای سیاسی در خیابان,Normal
پرهیز از اعمال خشونت,خانواده,اعضای خانواده با مهربانی و ملایمت رفتار می کنند,Expected
حمایت از کارآفرینی و اشتغالزایی,کسب و کار,جامعه از کارآفرینان و تولیدکنندگان حمایت می کند,Normal
